Entry	Reviewed	Entry Name	Protein names	Length	InterPro
A0AVK6	reviewed	E2F8_HUMAN	Transcription factor E2F8 (E2F-8)	867	IPR015633;IPR003316;IPR036388;IPR036390;
A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	1052	IPR032420;IPR032418;IPR042302;IPR045886;IPR000594;IPR018965;IPR042449;IPR038252;IPR019572;IPR042063;IPR035985;IPR018075;IPR000011;
A0FGR8	reviewed	ESYT2_HUMAN	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	921	IPR000008;IPR035892;IPR037752;IPR037733;IPR037749;IPR051634;IPR031468;IPR039010;
A0FGR9	reviewed	ESYT3_HUMAN	Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)	886	IPR000008;IPR035892;IPR037752;IPR037733;IPR037749;IPR051634;IPR031468;IPR039010;
A0JNW5	reviewed	BLT3B_HUMAN	Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)	1464	IPR026728;
A1KZ92	reviewed	PXDNL_HUMAN	Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)	1463	IPR000483;IPR019791;IPR010255;IPR037120;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR001611;IPR003591;IPR032675;IPR034824;IPR001007;
A1L390	reviewed	PKHG3_HUMAN	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)	1219	IPR035899;IPR000219;IPR011993;IPR001849;IPR043324;IPR055251;
A1L4H1	reviewed	SRCRL_HUMAN	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)	1573	IPR001190;IPR036772;
A1X283	reviewed	SPD2B_HUMAN	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	911	IPR051228;IPR001683;IPR036871;IPR036028;IPR001452;IPR037961;IPR035477;IPR035478;IPR035479;IPR035480;
A2PYH4	reviewed	HFM1_HUMAN	Probable ATP-dependent DNA helicase HFM1 (EC 5.6.2.4) (DNA 3'-5' helicase HFM1) (SEC63 domain-containing protein 1)	1435	IPR011545;IPR014001;IPR001650;IPR052247;IPR027417;IPR004179;IPR036388;IPR036390;IPR057842;
A2RRP1	reviewed	NBAS_HUMAN	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	2371	IPR054751;IPR029145;IPR011044;IPR013244;IPR015943;
A2RTX5	reviewed	SYTC2_HUMAN	Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)	802	IPR002314;IPR006195;IPR045864;IPR004154;IPR036621;IPR012675;IPR004095;IPR012676;IPR002320;IPR018163;IPR047246;IPR033728;IPR012947;
A2RUB1	reviewed	MEIOC_HUMAN	Meiosis-specific coiled-coil domain-containing protein MEIOC (Meiosis-specific with coiled-coil domain protein)	952	IPR027963;
A2RUB6	reviewed	CCD66_HUMAN	Coiled-coil domain-containing protein 66	948	IPR039183;IPR040467;
A2VDJ0	reviewed	T131L_HUMAN	Transmembrane protein 131-like	1609	IPR013783;IPR055435;IPR055436;IPR039877;IPR045695;IPR055437;IPR022113;
A3KMH1	reviewed	VWA8_HUMAN	von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)	1905	IPR003593;IPR011704;IPR027417;IPR039891;IPR002035;IPR036465;
A3KN83	reviewed	SBNO1_HUMAN	Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)	1393	IPR027417;IPR057332;IPR026937;IPR026741;IPR039187;
A4D0S4	reviewed	LAMB4_HUMAN	Laminin subunit beta-4 (Laminin beta-1-related protein)	1761	IPR056558;IPR056860;IPR050440;IPR013015;IPR008211;IPR002049;IPR056863;
A4D1B5	reviewed	GSAP_HUMAN	Gamma-secretase-activating protein (GSAP) (Protein pigeon homolog) [Cleaved into: Gamma-secretase-activating protein 16 kDa C-terminal form (GSAP-16K)]	854	IPR028010;IPR026172;
A4UGR9	reviewed	XIRP2_HUMAN	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	3374	IPR012510;IPR030072;
A5A3E0	reviewed	POTEF_HUMAN	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)	1075	IPR004000;IPR020902;IPR004001;IPR002110;IPR036770;IPR043129;IPR039497;
A5D8W1	reviewed	CFA69_HUMAN	Cilia- and flagella-associated protein 69	941	IPR011989;IPR016024;IPR048732;IPR048733;
A5PKW4	reviewed	PSD1_HUMAN	PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)	1024	IPR011993;IPR041681;IPR001605;IPR001849;IPR023394;IPR000904;IPR035999;
A5YKK6	reviewed	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	2376	IPR007196;IPR055454;IPR055104;IPR032191;IPR024557;IPR032194;IPR032193;IPR038535;IPR040398;
A5YM72	reviewed	CRNS1_HUMAN	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	827	IPR011761;IPR041472;IPR031046;
A6BM72	reviewed	MEG11_HUMAN	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	1044	IPR000742;IPR013032;IPR057138;IPR011489;IPR002049;IPR052485;
A6H8Y1	reviewed	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)	2624	IPR009057;IPR001005;IPR039467;
A6NC98	reviewed	CC88B_HUMAN	Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3)	1476	IPR036872;IPR043936;
A6ND36	reviewed	FA83G_HUMAN	Protein FAM83G (Protein associated with SMAD1)	823	IPR050944;IPR012461;
A6NFQ2	reviewed	TCAF2_HUMAN	TRPM8 channel-associated factor 2 (TRP channel-associated factor 2)	919	IPR029062;IPR035423;IPR042279;IPR031161;IPR051244;
A6NGG8	reviewed	PCARE_HUMAN	Photoreceptor cilium actin regulator	1288	IPR029352;
A6NHR9	reviewed	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	2005	IPR036890;IPR058611;IPR058612;IPR058613;IPR058614;IPR058615;IPR058617;IPR058616;IPR010935;IPR036277;IPR038892;IPR055109;
A6NKB5	reviewed	PCX2_HUMAN	Pecanex-like protein 2 (Pecanex homolog protein 2)	2137	IPR039797;IPR007735;
A6NMZ7	reviewed	CO6A6_HUMAN	Collagen alpha-6(VI) chain	2263	IPR008160;IPR050525;IPR002035;IPR036465;
A6NNM8	reviewed	TTL13_HUMAN	Tubulin polyglutamylase TTLL13 (EC 6.3.2.-) (Tubulin tyrosine ligase like 13) (Tubulin tyrosine ligase-like family member 13 pseudogene) (Tubulin--tyrosine ligase-like protein 13)	815	IPR004344;
A6QL63	reviewed	ABTB3_HUMAN	Ankyrin repeat- and BTB/POZ domain-containing protein 3 (BTB/POZ domain-containing protein 11)	1104	IPR059008;IPR052089;IPR002110;IPR036770;IPR000210;IPR047824;IPR009072;IPR011333;
A7E2V4	reviewed	ZSWM8_HUMAN	Zinc finger SWIM domain-containing protein 8	1837	IPR057945;IPR007527;IPR048370;
A7E2Y1	reviewed	MYH7B_HUMAN	Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)	1983	IPR036961;IPR001609;IPR008989;IPR002928;IPR027417;IPR004009;IPR014751;
A7KAX9	reviewed	RHG32_HUMAN	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	2087	IPR051576;IPR042139;IPR036871;IPR008936;IPR000198;IPR036028;IPR001452;
A7XYQ1	reviewed	SOBP_HUMAN	Sine oculis-binding protein homolog (Jackson circler protein 1)	873	IPR026092;IPR010507;
